t,C_free_GB,C_free_perf_GB,pf_alloc_GB,pf_used_GB,commit_used_GB
11:22:12.615,4.284,4.301,35.495,0.846,64.953
11:22:15.704,4.284,4.301,35.495,0.846,64.694
11:22:18.783,4.284,4.301,35.495,0.846,64.567
11:22:21.873,4.284,4.301,35.495,0.846,64.566
11:22:24.981,4.284,4.301,35.495,0.846,64.572
11:22:28.091,4.283,4.301,35.495,0.846,64.568
11:22:31.179,4.282,4.301,35.495,0.846,64.557
11:22:34.278,4.282,4.301,35.495,0.846,64.581
11:22:37.373,4.282,4.301,35.495,0.846,64.581
11:22:40.461,4.282,4.301,35.495,0.846,64.580
11:22:43.565,4.281,4.301,35.495,0.846,64.635
11:22:46.654,4.281,4.301,35.495,0.841,64.567
11:22:49.741,4.281,4.301,35.495,0.841,64.581
11:22:52.846,4.281,4.301,35.495,0.841,64.657
11:22:55.940,4.281,4.301,35.495,0.841,64.662
11:22:59.043,4.280,4.301,35.495,0.841,64.588
11:23:02.127,4.286,4.301,35.495,0.841,64.658
11:23:05.228,10.650,4.301,35.495,0.841,64.567
11:23:08.315,11.129,4.301,35.495,0.841,64.542
11:23:11.409,11.129,4.301,35.495,0.841,64.560
11:23:14.503,11.129,4.301,35.495,0.841,64.544
11:23:17.596,11.129,4.301,35.495,0.841,64.545
11:23:20.692,11.129,4.301,35.495,0.841,64.531
11:23:23.797,11.125,4.301,35.495,0.841,64.546
11:23:26.892,11.125,4.301,35.495,0.841,64.531
11:23:29.974,11.124,4.301,35.495,0.841,64.528
11:23:33.074,11.124,4.301,35.495,0.841,64.533
11:23:36.173,11.111,4.301,35.495,0.841,64.529
11:23:39.253,11.111,4.301,35.495,0.841,64.528
11:23:42.342,11.111,4.301,35.495,0.841,64.526
11:23:45.434,11.111,4.301,35.495,0.841,64.539
11:23:48.536,11.111,4.301,35.495,0.841,64.533
11:23:51.633,11.111,4.301,35.495,0.841,64.540
11:23:54.729,11.110,4.301,35.495,0.841,64.539
11:23:57.860,11.162,4.301,35.495,0.841,64.861
11:24:00.982,11.114,4.301,35.495,0.841,65.065
11:24:04.068,11.105,4.301,35.495,0.841,64.795
11:24:07.160,11.104,4.301,35.495,0.841,64.587
11:24:10.262,11.104,4.301,35.495,0.841,64.582
11:24:13.369,11.190,4.301,35.495,0.841,64.973
11:24:16.469,11.114,4.301,35.495,0.841,65.085
11:24:19.617,11.109,4.301,37.483,0.841,66.668
11:24:22.721,11.027,4.301,37.483,0.841,65.826
11:24:25.829,10.928,4.301,37.483,0.841,65.254
11:24:28.937,10.911,4.301,37.483,0.841,65.300
11:24:32.033,10.911,4.301,37.483,0.841,65.465
11:24:35.133,10.867,4.301,37.483,0.841,65.170
11:24:38.247,10.821,4.301,37.483,0.841,65.022
11:24:41.335,10.808,4.301,37.483,0.841,65.089
11:24:44.431,10.792,4.301,37.483,0.841,65.245
11:24:47.525,10.789,4.301,37.483,0.841,65.095
11:24:50.621,10.781,4.301,37.483,0.841,64.566
11:24:53.711,10.788,4.301,37.483,0.841,64.526
11:24:56.796,10.788,4.301,37.483,0.841,64.547
11:24:59.889,10.788,4.301,37.483,0.841,64.546
11:25:02.987,10.788,4.301,37.483,0.841,64.535
11:25:06.084,10.788,4.301,37.483,0.841,64.544
11:25:09.174,10.788,4.301,37.483,0.841,64.628
11:25:12.267,10.788,4.301,37.483,0.841,64.653
11:25:15.369,10.787,4.301,37.483,0.841,64.656
11:25:18.464,10.787,4.301,37.483,0.841,64.634
11:25:21.553,10.787,4.301,37.483,0.841,64.611
11:25:24.642,10.787,4.301,37.483,0.841,64.635
11:25:27.727,10.787,4.301,37.483,0.841,64.639
11:25:30.833,10.786,4.301,37.483,0.841,64.627
11:25:33.909,10.786,4.301,37.483,0.841,64.562
11:25:36.994,10.786,4.301,37.483,0.841,64.545
11:25:40.069,10.786,4.301,37.483,0.841,64.543
11:25:43.162,10.783,4.301,37.483,0.841,64.557
11:25:46.254,10.783,4.301,37.483,0.841,64.561
11:25:49.350,10.783,4.301,37.483,0.841,64.550
11:25:52.440,10.783,4.301,37.483,0.841,64.543
11:25:55.523,10.782,4.301,37.483,0.841,64.611
11:25:58.632,10.782,4.301,37.483,0.841,64.680
11:26:01.731,10.786,4.301,37.483,0.841,64.614
11:26:04.837,10.786,4.301,37.483,0.841,64.619
11:26:07.944,10.785,4.301,37.483,0.841,64.612
11:26:11.030,10.785,4.301,37.483,0.841,64.610
11:26:14.128,10.785,4.301,37.483,0.841,64.611
11:26:17.225,10.785,4.301,37.483,0.841,64.610
11:26:20.306,10.785,4.301,37.483,0.841,64.613
11:26:23.397,10.785,4.301,37.483,0.841,64.607
11:26:26.494,10.785,4.301,37.483,0.841,64.610
11:26:29.584,10.785,10.784,37.483,0.841,64.618
11:26:32.674,10.785,10.784,37.483,0.841,64.617
11:26:35.765,10.785,10.784,37.483,0.841,64.617
11:26:38.851,10.784,10.784,37.483,0.841,64.609
11:26:41.935,10.784,10.784,37.483,0.841,64.615
11:26:45.027,10.784,10.784,37.483,0.841,64.614
11:26:48.132,10.783,10.784,37.483,0.841,64.621
11:26:51.218,10.783,10.784,37.483,0.841,64.622
11:26:54.301,10.783,10.784,37.483,0.841,64.616
11:26:57.388,10.783,10.784,37.483,0.841,64.617
11:27:00.483,10.783,10.784,37.483,0.841,64.601
11:27:03.580,10.783,10.784,37.483,0.841,64.621
11:27:06.663,10.783,10.784,37.483,0.841,64.618
11:27:09.750,10.783,10.784,37.483,0.841,64.600
11:27:12.854,10.783,10.784,37.483,0.841,64.549
11:27:15.955,10.783,10.784,37.483,0.841,64.503
11:27:19.048,10.783,10.784,37.483,0.841,64.515
11:27:22.147,10.782,10.784,37.483,0.841,64.517
11:27:25.239,10.782,10.784,37.483,0.841,64.525
11:27:28.348,10.781,10.784,37.483,0.841,64.527
11:27:31.464,10.781,10.784,37.483,0.841,64.603
11:27:34.566,10.777,10.784,37.483,0.841,64.644
11:27:37.685,10.777,10.784,37.483,0.841,64.627
11:27:40.779,10.777,10.784,37.483,0.841,64.626
11:27:43.867,10.777,10.784,37.483,0.841,64.629
11:27:46.958,10.764,10.784,37.483,0.841,64.615
11:27:50.047,10.764,10.784,37.483,0.841,64.729
11:27:53.147,10.763,10.784,37.483,0.841,64.640
11:27:56.245,10.763,10.784,37.483,0.841,64.539
11:27:59.351,10.763,10.784,37.483,0.841,64.529
11:28:02.448,10.763,10.784,37.483,0.841,64.535
11:28:05.529,10.762,10.784,37.483,0.841,64.521
11:28:08.627,10.762,10.784,37.483,0.841,64.533
11:28:11.727,10.762,10.784,37.483,0.841,64.525
11:28:14.828,10.761,10.784,37.483,0.841,64.530
11:28:17.980,10.761,10.784,37.483,0.841,64.591
11:28:21.275,10.761,10.784,37.483,0.841,66.825
11:28:24.575,10.570,10.784,38.439,0.841,68.493
11:28:27.826,10.342,10.784,39.388,0.841,68.623
11:28:31.107,10.120,10.784,39.388,0.841,67.467
11:28:34.279,9.837,10.784,39.388,0.841,67.799
11:28:37.403,9.723,10.784,42.423,0.841,72.342
11:28:40.512,9.655,10.784,42.423,0.841,73.024
11:28:43.641,9.516,10.784,43.428,0.841,67.728
11:28:46.743,9.415,10.784,43.428,0.841,66.269
11:28:49.858,9.328,10.784,50.529,0.841,81.258
11:28:52.965,1.712,10.784,51.537,0.841,81.043
11:28:56.056,1.644,10.784,51.537,0.841,64.830
11:28:59.151,1.638,10.784,51.537,0.841,65.302
11:29:02.244,1.628,10.784,51.537,0.841,64.680
11:29:05.463,1.618,10.784,51.537,0.841,68.005
11:29:08.761,1.471,10.784,51.537,0.841,69.882
11:29:11.992,1.240,10.784,51.537,0.841,68.302
11:29:15.178,0.919,10.784,51.537,0.841,67.588
11:29:18.341,0.642,10.784,51.537,0.841,68.568
11:29:21.491,0.406,10.784,51.537,0.841,67.823
11:29:24.653,0.215,10.784,51.537,0.841,68.427
11:29:27.762,0.000,10.784,51.537,0.841,66.581
11:29:30.869,0.007,10.784,51.537,0.841,66.304
11:29:33.959,0.007,10.784,51.537,0.841,66.546
11:29:37.061,0.006,10.784,51.537,0.841,66.791
11:29:40.156,0.007,10.784,51.537,0.841,64.604
11:29:43.260,0.006,10.784,51.537,0.841,64.701
11:29:46.362,0.987,10.784,51.537,0.841,64.632
11:29:49.452,0.987,10.784,51.537,0.841,64.620
